0,1,2
0.0492676431424767,0.040745672436751,0.02796271637816245
0.06790945406125166,0.024234354194407455,0.040745672436751
0.08415446071904129,0.011451398135818908,0.04287616511318242
0.10439414114513981,-0.002929427430093209,0.027163781624500664
0.11744340878828229,0.007190412782956059,0.03062583222370173
0.1214380825565912,0.005858854860186418,0.008788282290279626
0.12649800266311584,-0.0018641810918774966,0.0010652463382157123
0.12703062583222371,0.013049267643142477,-0.009587217043941412
0.13448735019973368,0.004260985352862849,-0.012516644474034621
0.1336884154460719,-0.01837549933422104,-0.014913448735019973
0.12969374167776299,-0.02237017310252996,-0.022103861517976033
0.1203728362183755,-0.020239680426098534,-0.01970705725699068
0.11797603195739015,-0.009054593874833556,0.0034620505992010654
0.11504660452729694,-0.0002663115845539281,0.002929427430093209
0.10572569906790945,0.002929427430093209,-0.0018641810918774966
0.10386151797603196,-0.0034620505992010654,0.00985352862849534
0.09747003994673768,0.0007989347536617843,-0.002396804260985353
0.08362183754993342,0.0034620505992010654,-0.0039946737683089215
0.09720372836218376,0.015978695073235686,0.0018641810918774966
0.08841544607190413,0.009320905459387484,0.013049267643142477
0.07376830892143808,0.005059920106524634,0.0237017310252996
0.06524633821571238,-0.010652463382157125,0.03275632490013316
0.03249001331557923,-0.01411451398135819,0.04447403462050599
0.007989347536617843,-0.02343541944074567,0.05965379494007989
-0.0037283621837549932,-0.015712383488681758,0.07882822902796272
-0.029027962716378163,-0.007190412782956059,0.08495339547270306
-0.04340878828229028,0.007190412782956059,0.09906790945406126
-0.06178428761651132,0.006657789613848202,0.10173102529960053
-0.06870838881491345,0.017842876165113184,0.09400798934753662
-0.0881491344873502,0.017576564580559253,0.10013315579227697
-0.10039946737683089,0.02929427430093209,0.09267643142476698
-0.09027962716378163,0.029826897470039946,0.08229027962716379
-0.10599201065246339,0.025033288948069242,0.0673768308921438
-0.09720372836218376,0.0388814913448735,0.04846870838881491
-0.09986684420772303,0.043941411451398134,0.022902796271637816
-0.09187749667110519,0.04846870838881491,-0.002396804260985353
-0.08069241011984021,0.047137150466045274,-0.0237017310252996
-0.07456724367509987,0.04846870838881491,-0.0388814913448735
-0.05725699067909454,0.047137150466045274,-0.07190412782956059
-0.06231691078561918,0.05379494007989347,-0.06684420772303595
-0.04181091877496671,0.06045272969374168,-0.09027962716378163
-0.04047936085219707,0.05752330226364847,-0.1070572569906791
-0.02796271637816245,0.06950732356857524,-0.10972037283621837
-0.028761651131824235,0.07509986684420772,-0.10785619174434088
-0.021571238348868177,0.0748335552596538,-0.09986684420772303
-0.010386151797603195,0.06284953395472703,-0.10572569906790945
-0.017043941411451397,0.051131824234354195,-0.08095872170439414
-0.010652463382157125,0.04580559254327563,-0.08601864181091877
0.005059920106524634,0.03595206391478029,-0.09320905459387484
-0.0015978695073235686,0.036218375499334224,-0.10785619174434088
0.0039946737683089215,0.02796271637816245,-0.11637816245006657
0.014380825565912117,0.04047936085219707,-0.11904127829560586
0.025033288948069242,0.03195739014647137,-0.1299600532623169
0.01944074567243675,0.043941411451398134,-0.13794940079893475
0.017842876165113184,0.05033288948069241,-0.1137150466045273
0.014647137150466045,0.050865512649800264,-0.10732356857523302
0.012516644474034621,0.04766977363515313,-0.10492676431424768
0.00825565912117177,0.04234354194407457,-0.07509986684420772
-0.0021304926764314247,0.04953395472703063,-0.05965379494007989
0.009054593874833556,0.04154460719041278,-0.03968042609853529
-0.011717709720372836,0.04900133155792277,-0.03754993342210386
-0.014380825565912117,0.04980026631158455,-0.034354194407456726
-0.027696404793608524,0.05539280958721705,-0.0037283621837549932
-0.045006657789613845,0.05619174434087883,0.012782956058588549
-0.05885486018641811,0.06311584553928096,0.017043941411451397
-0.07190412782956059,0.05459387483355526,0.029826897470039946
-0.09134487350199734,0.03754993342210386,0.047936085219707054
-0.09613848202396805,0.02636484687083888,0.05059920106524634
-0.10386151797603196,0.00825565912117177,0.06045272969374168
-0.10412782956058589,0.003195739014647137,0.04181091877496671
-0.10412782956058589,-0.01677762982689747,0.03249001331557923
-0.0966711051930759,-0.0303595206391478,0.019973368841544607
-0.07989347536617843,-0.0474034620505992,0.002663115845539281
-0.07829560585885487,-0.06551264980026632,0.010119840213049267
-0.07723035952063914,-0.08841544607190413,-0.002929427430093209
-0.06444740346205059,-0.1118508655126498,-0.0021304926764314247
-0.06498002663115846,-0.12410119840213049,-0.009587217043941412
-0.08655126498002663,-0.14860186418109186,-0.007723035952063915
-0.08948069241011984,-0.17070572569906792,0.0002663115845539281
-0.0948069241011984,-0.19121171770972037,-0.0021304926764314247
-0.10306258322237018,-0.2170439414114514,0.011717709720372836
-0.11451398135818908,-0.23355525965379495,0.011984021304926764
-0.12356857523302264,-0.2484687083888149,0.013049267643142477
-0.11984021304926765,-0.27057256990679096,0.014647137150466045
-0.13155792276964048,-0.2825565912117177,0.029560585885486018
-0.12197070572569907,-0.30146471371504663,0.011451398135818908
-0.13874833555259652,-0.31531291611185086,0.019174434087882823
-0.13262316910785618,-0.33022636484687085,0.019973368841544607
-0.1318242343541944,-0.33768308921438084,0.017576564580559253
-0.12250332889480692,-0.3459387483355526,0.03968042609853529
-0.12250332889480692,-0.34167776298268976,0.06284953395472703
-0.11318242343541944,-0.36431424766977366,0.07003994673768309
-0.11930758988015978,-0.3669773635153129,0.06551264980026632
-0.12516644474034622,-0.37017310252996005,0.06657789613848203
-0.10945406125166444,-0.3595206391478029,0.07163781624500666
-0.10972037283621837,-0.35978695073235684,0.07430093209054593
